Index,EVMAddress,SubstrateAddress,Balance
128,0x371880c69B9442888318e82B079BC41d85f03979,5H37UAhdmAt4x981vuGycfUC7ZtaNLJpAnGznhG9N7CRFS8H,4000000.9997
129,0x507bB1169c2D17503304816B62ed9e5F1F67c3e8,5GzgSmmvmiou16654GPbLLFPtupfFRJ2ccxnF33djnghqVMy,1935307.7156
131,0x6E104A1EC9DE4A41BB82C92E8CED4A2EBEA90F7D,5DRqitAwwu7aTHVFEPHD1DZUtKb3Rzxfvm2SDk7jpyGy7pG9,15361396.3878
132,0x5803Db78015ccFCf773a371CC01e9a43718A5427,5CGi253iSR4oDnNbSqp3us73QXaXigJcwjm64tXfUjg1tH2D,5999982.9977
133,0x84E4342DE4bbfAAFD891Ee11d6ff0398B41Fd748,5D4WsBSTBj2DLN7AmfRhdDhrGBpp5P6T9WfMpzB3LY3uaeP5,3850001.9979
134,0x288A0E479d5DC96453bbf272A28E95aB2C5aCC31,5CNHWUnkZEzx39yjT9N8bahfT4RbWqzp7YZwhqnjHmJCefhU,1924995.9956
135,0x876D4dEc99DfF615A633e3E54964e07aEe1BC8B4,5FdxRU6j4Jjnfw6mNrsD6noMz9JhWCDxj27smyB4i1utob3H,3700000.9914
136,0x8175fbBADEBb294FE4e8175e180943A86008b06B,5FNcGB9pd2Rz772vFh2Lvsn4wFsWJv2xETXf33R9vVxUEsuA,1000000.9998
137,0x81e2bBb2254Fb03634FEB15ceD2364bf8B62D8f1,5HLQWPo5HfgLgYZmVuvHJQNG1XfsxMx6cQTk2KfTAnmqLWwM,3700000.0000
139,0x63876b1D104fcc1478CD9e0405D02D46a781F7A5,5F8c1AV29XUVpeSrHruS1K6Yx9vbxfy7p9HKf5behAPRAZHb,10582471.8733
140,0x3F043c80696fc46e5a3FbfD1cf86dcbbA5fcc62C,5F1tw2SYMurtJTQn5fBh1x9AjmCyVgtPyDA53d4hQw7eCFG9,5894067.0596
142,0x2a687c59F1AEa36791e90fA144D1F8B7a15C65Cc,5Hm27yVR2Fc7CSDFdvGLFiBpdZjrfeWM35HAFsyNaoAsGXJM,27757.9051
143,0x397865729de677baD463e4b2fa3705E6a43FFE69,5EQ44NyupPa7j99694KwKFhTTVbuDogYaZuMjdoshwQ94N4J,211902.8763
147,0xF6aa98cE1cc8eE991f380d5aFD178EF58AF85D93,5GpwtmEs5tBphx7zEsPmh84Uf7ypyWugwDy13FjM8dsr2mCN,3864485.8381
